Page;Extract;Confidence Level
43;"The prior analysis of the need to process personal data, in terms of quantity and extent, in the several phases pursuant to minimisation criteria.";High
43;"The analysis of the accuracy, fidelity, quality and biases of the data used or gathered for the development or the operation of the AI component, as well as the data sanitation methods used with regard to the data.";High
43;"The verification and performance of tests and validation of the precision, the accuracy, the convergence, the consistence, predictability and any other metrics on the eligibility of the algorithms used, profiling and inferences.";High
43;"The suitability of the security measures in order to avoid privacy risks.";High
43;"The training and education of the data controller personnel involved in the development and operation of the AI component. In this last case, a special attention to the accurate interpretation of the inferences.";High
43;"The obligation, necessity and, as the case may be, the qualification of the DPO.";Medium
43;"The addition of mechanisms that guarantee the fulfilment of the rights of the data subjects, more precisely, the ex officio erasure of personal data, with a great attention to minors' rights.";High
43;"The fulfilment of the limitations on automated decisions without a human intervention, the assessment, as the case may be, of the quality of the human intervention and the supervisory mechanisms adopted.";High
44;"A critical aspect of the audit is to guarantee that the AI-based solution is being used for the purpose for which it was designed, with special attention to its use by the operators of the system.";High
44;"The use of solutions or real-time automated audit tools is advisable in systems with automated decision-making in order to ensure that the output is consistent and precise, as well as in order to allow that erroneous decisions be aborted or cancelled before irreversible consequences arise.";High
44;"The development or deployment of an AI component based on Cloud services, the disclosure of user data to third parties in order to evolve the AI model or the release of the AI component in the event that personal data exist that are inherent to the model, may imply cross-border data flows to third countries.";Medium;definition
44;"The guarantees appearing in Chapter V of the GDPR 'Transfers of personal data to third countries or international organisations' need to be applied to such transfers. It is especially important to establish mechanisms in order to allow the contracts signed in this context of international transfers to be managed smoothly, ensuring at the same time that the client, as data controller, has enough information on the contractors or prospect contractors and keeps the power to adopt decisions.";High
45;"Commercialization, for entities and consumers in general, of processing including solutions based on disruptive technologies, such as technologies based on AI components, requests for the implementation of quality and security guarantees like in every other product.";Medium
45;"The availability or novelty of a technology is not reason enough to commercialise products that do not meet a certain level of quality of service, especially when such requirements are laid down by regulation.";High
45;"With regard to the protection of personal data, compliance with the provisions in the GDPR requests a certain level of maturity in the AI solutions that makes it possible to objectively assess the compliance of the processing and the implementation of guarantees and measures to manage the risks.";High
45;"With regard to such risks, technology in general, and AI technologies in particular, may have a multiplying effect of the ethical deficiencies that are already present in society or those that are perpetuated from the past and are registered in historical data. The application of the GDPR and the guarantees it incorporates allows to minimise such risks.";Medium;definition
45;"The use of transparency, risk management strategies and audit and certification mechanisms will allow for compliance with the provisions in the GDPR but this will also enhance trust by users in AI-based products and services";High
45;"AI-applications may be a useful tool to implement guarantees to ensure data protection";Low;definition
45;"Finally, it must be highlighted that one of the main problems of AI-based solutions is not the AI itself, but rather the way in which the AI technology and the new psychological biases arising out of its use are going to be used by individuals. More precisely, careful attention needs to be paid so as not to assign responsibilities to unsupervised AI components without adopting a rational, critical and discerning position.";High
45;"The delegation of decision-making on machines is not something new; it has already been used with determinist algorithms, but the bias of assigning a kind of authority or reputability to a result just inferred by an AI-based solution may increase the risks arising out of such a delegation of responsibility.";Medium;definition
