Page of the document;Question Category;Text
5;Legal Compliance;□ Establish data management policies, including technical enforcement, regarding data classification and usage limitations. Models should only leverage data classified for the minimum access level of any user of the system. For example, update the data protection policy to emphasize not to input protected or confidential data into nonbusiness-managed tools.
5;Legal Compliance;□ Create an AI Policy supported by established policy (e.g., standard of good conduct, data protection, software use)
5;Legal Compliance;□ Publish an acceptable use matrix for various generative AI tools for employees to use.
5;Legal Compliance;□ Document the sources and management of any data that the organization uses from the generative LLM models.
5-6;Legal Compliance;□ Confirm product warranties are clear in the product development stream to assign who is responsible for product warranties with AI.
5-6;Legal Compliance;□ Review and update existing terms and conditions for any GenAI considerations.
5-6;Legal Compliance;□ Review AI EULA agreements. End-user license agreements for GenAI platforms are very different in how they handle user prompts, output rights and ownership, data privacy, compliance, liability, privacy, and limits on how output can be used.
5-6;Legal Compliance;□ Organizations EULA for customers, Modify end-user agreements to prevent the organization from incurring liabilities related to plagiarism, bias propagation, or intellectual property infringement through AI-generated content.
5-6;Legal Compliance;□ Review existing AI-assisted tools used for code development. A chatbot's ability to write code can threaten a company's ownership rights to its product if a chatbot is used to generate code for the product. For example, it could call into question the status and protection of the generated content and who holds the right to use the generated content.
5-6;Legal Compliance;□ Review any risks to intellectual property. Intellectual property generated by a chatbot could be in jeopardy if improperly obtained data was used during the generative process, which is subject to copyright, trademark, or patent protection. If AI products use infringing material, it creates a risk for the outputs of the AI, which may result in intellectual property infringement.
5-6;Legal Compliance;□ Review any contracts with indemnification provisions. Indemnification clauses try to put the responsibility for an event that leads to liability on the person who was more at fault for it or who had the best chance of stopping it. Establish guardrails to determine whether the provider of the AI or its user caused the event, giving rise to liability.
5-6;Legal Compliance;□ Review liability for potential injury and property damage caused by AI systems.
5-6;Legal Compliance;□ Review insurance coverage. Traditional (D&O) liability and commercial general liability insurance policies are likely insufficient to fully protect AI use.
5-6;Legal Compliance;□ Identify any copyright issues. Human authorship is required for copyright. An organization may also be liable for plagiarism, propagation of bias, or intellectual property infringement if LLM tools are misused.
5-6;Legal Compliance;□ Ensure agreements are in place for contractors and appropriate use of AI for any development or provided services.
5-6;Legal Compliance;□ Restrict or prohibit the use of generative AI tools for employees or contractors where enforceable rights may be an issue or where there are IP infringement concerns.
5-6;Legal Compliance;□ Assess and AI solutions used for employee management or hiring could result in disparate treatment claims or disparate impact claims.
5-6;Legal Compliance;□ Make sure the AI solutions do not collect or share sensitive information without proper consent or authorization.
7;Legal Compliance;□ Determine Country, State, or other Government specific AI compliance requirements.
7;Legal Compliance;□ Determine compliance requirements for restricting electronic monitoring of employees and employment-related automated decision systems (Vermont, California, Maryland, New York, New Jersey)
7;Legal Compliance;□ Determine compliance requirements for consent for facial recognition and the AI video analysis required (Illinois, Maryland, Washington, Vermont)
7;Legal Compliance;□ Review any AI tools in use or being considered for employee hiring or management.
7;Legal Compliance;□ Confirm the vendor's compliance with applicable AI laws and best practices.
7;Legal Compliance;□ Ask and document any products using AI during the hiring process. Ask how the model was trained, and how it is monitored, and track any corrections made to avoid discrimination and bias.
7;Legal Compliance;□ Ask and document what accommodation options are included.
7;Legal Compliance;□ Ask and document whether the vendor collects confidential data.
7;Legal Compliance;□ Ask how the vendor or tool stores and deletes data and regulates the use of facial recognition and video analysis tools during pre-employment.
7;Legal Compliance;□ Review other organization-specific regulatory requirements with AI that may raise compliance issues. The Employee Retirement Income Security Act of 1974, for instance, has fiduciary duty requirements for retirement plans that a chatbot might not be able to meet.
8;Secure Design/Development/Deployment;□ Threat Model LLM components and architecture trust boundaries.
8;Secure Design/Development/Deployment;□ Data Security, verify how data is classified and protected based on sensitivity, including personal and proprietary business data. (How are user permissions managed, and what safeguards are in place?)
8;Secure Design/Development/Deployment;□ Access Control, implement least privilege access controls and implement defense-in-depth measures
8;Secure Design/Development/Deployment;□ Training Pipeline Security, require rigorous control around training data governance, pipelines, models, and algorithms.
8;Secure Design/Development/Deployment;□ Input and Output Security, evaluate input validation methods, as well as how outputs are filtered, sanitized, and approved.
8;Secure Design/Development/Deployment;□ Monitoring and Response, map workflows, monitoring, and responses to understand automation, logging, and auditing. Confirm audit records are secure.
8;Secure Design/Development/Deployment;□ Include application testing, source code review, vulnerability assessments, and red teaming in the production release process.
8;Secure Design/Development/Deployment;□ Check for existing vulnerabilities in the LLM model or supply chain.
8;Secure Design/Development/Deployment;□ Look into the effects of threats and attacks on LLM solutions, such as prompt injection, the release of sensitive information, and process manipulation.
8;Secure Design/Development/Deployment;□ Investigate the impact of attacks and threats to LLM models, including model poisoning, improper data handling, supply chain attacks, and model theft.
8;Secure Design/Development/Deployment;□ Supply Chain Security, request third-party audits, penetration testing, and code reviews for third-party providers. (both initially and on an ongoing basis)
8;Secure Design/Development/Deployment;□ Infrastructure Security, ask how often a vendor performs resilience testing? What are their SLAs in terms of availability, scalability, and performance?
8;Secure Design/Development/Deployment;□ Update incident response playbooks and include an LLM incident in tabletop exercises.
8;Secure Design/Development/Deployment;□ Identify or expand metrics to benchmark generative cybersecurity AI against other approaches to measure expected productivity improvements.
8-9;Evaluation and Testing;□ Establish continuous testing, evaluation, verification, and validation throughout the AI model lifecycle.
8-9;Evaluation and Testing;□ Provide regular executive metrics and updates on AI Model functionality, security, reliability, and robustness.
9-10;Data Protection;Model details: Basic information about the model, i.e., name, version, and type (neural network, decision tree, etc.), and the intended use case.
9-10;Data Protection;Model architecture: Includes a description of the structure of the model, such as the number and type of layers, activation functions, and other key architectural choices.
9-10;Data Protection;Training data and methodology: Information about the data used to train the model, such as the size of the dataset, the data sources, and any preprocessing or data augmentation techniques used. It also includes details about the training methodology, such as the optimizer used, the loss function, and any hyperparameters that were tuned.
9-10;Data Protection;Performance metrics: Information about the model's performance on various metrics, such as accuracy, precision, recall, and F1 score. It may also include information about how the model performs on different subsets of the data.
9-10;Data Protection;Potential biases and limitations: Lists potential biases or limitations of the model, such as imbalanced training data, overfitting, or biases in the model's predictions. It may also include information about the model's limitations, such as its ability to generalize to new data or its suitability for certain use cases.
9-10;Data Protection;Responsible AI considerations: Any ethical or responsible AI considerations related to the model, such as privacy concerns, fairness, and transparency, or potential societal impacts of the model's use. It may also include recommendations for further testing, validation, or monitoring of the model.
2;Risk Assessment;□ How will attackers accelerate exploit attacks against the organization, employees, executives, or users? Organizations should anticipate "hyper-personalized" attacks at scale using Generative AI. LLM-assisted Spear Phishing attacks are now exponentially more effective, targeted, and weaponized for an attack.
2;Risk Assessment;□ How could GenAI be used for attacks on the business's customers or clients through spoofing or GenAI generated content?
