Page of the document;Text
37-38;"There are several AI solutions data minimisation techniques, some of them specifically for ML, and they are in continuous development:

Data assessment to check their high-quality and high predicting capacity for the relevant application.
Critical analysis of the extent of the data categories used in each phase of the AI-based solution.
Erasure of non-structured data or unneeded information that has been collected during the pre-process of the information.
Identification and erasure, during the training process, of such data categories with no significant influence on the learning or the result of the inference.
Suppression of non-relevant conclusions linked to a data subject during the training process, for example, in the event of non-supervised training.
Use of verification techniques that require a lesser number of data, such as crossed validation.
Analysis and configuration of hyperparameters of the algorithm that may have an influence on the amount or extent of the data processed, with the aim to minimise them.
Use of federated learning models instead of centralised learning models.
Application of differential privacy strategies.
Training with encrypted data using homomorphic techniques.
Data aggregation.
Anonymisation and pseudonymisation, not only in the communication of the data, but also in training data, possible personal data into the model and during the processing of the inference."

38;"For each phase of a processing, regardless of whether the phase includes an AI component or not, a different extent of the total personal data regarding the same data subject needs to be processed. In general terms, it is not necessary to access the full extent of the available personal data in every phase. Therefore, data minimisation strategies used for every phase of the processing should differ, and they should likewise differ in each of the phases of the life cycle of the AI-based solution: the training phase, the inference phase or the model evolution phase. It should be taken into account the limitations established by the legal basis itself."
39;"The GDPR established in Article 32 that both the controller and the processor shall apply suitable technical and organisational measures to guarantee a suitable security level with regard to the data subjects' rights and freedoms. Such measures shall be adapted taking into account the costs of the implementation, the nature, the scope, the context and the purposes of the processing, as well as the variable risks of probability and severity. There is no standard solution for all processings and much less for those including an AI component. The solution must be assessed through a risk analysis that must be related to the risks for the rights and freedoms of the data subjects from the point of view of data protection."
39-40;"Apart from the analysis of the security measures that are common to any system there are specific guarantees for AI-based processing. Such guarantees should address specific threats derived from the fact that the IA components is developed by third parties or from the data disclosure to third parties.
There are attack and defence typologies with regard to AI components that have been analysed. Among the different security measures, it is advisable to pay careful attention to those managing the following types of threats:

Access and manipulation of the training dataset, for example, through poisoning techniques with adverse patterns.
Inclusion of Trojans and backdoors during the development of the AI, either in the code itself or in the development tools.
Manipulation of the user API that allow to access the model, both at the level of black box and white box, to manipulate model parameters, leaking of the model to third parties, integrity attacks or availability of the inferences.
Attacks by "adversarial machine learning" so that an analysis on the robustness and control of the feed of data to the model should be necessary.
Attacks through pattern imitation that are known to be admitted by the system.
Reidentification of the personal data included within the model (belonging inference or inversion of the model) by internal and external users.
Fraud or deceive to the AI by data subjects, especially in such cases where in may entail a damage for other data subjects, which implies the necessity to perform an analysis of the robustness in the light of such actions and the performance of audits.
Leak to third parties of the profiling results or the decisions inferred by the AI (also related to the user's APIs).
Leak or access to the logs resulting from the inferences generated while interacting with the data subjects."

40;"The existence of log files or activity records, the performance of audits (be they automated or manual) and the certification of the process are inherent to the "accountability" strategies or proactive responsibility strategies, but they also arise out of the legal requirements that are specifically established in the sectorial regulation."
40;"The log files shall be necessary to support the audit processes and the security mechanisms, with regard to data protection, said log files shall provide evidence in order to:

Establish who and under what circumstances accesses the personal data that may be included within the model.
Provide traceability with regard to the update of the inference models, the communications of the user API with the model and the detection of abuse or intrusion attempts.
Provide traceability to enable governance in data disclosure among all intervening parties in the AI-based solution with regard to the obligations arising out of Recital 66 of the GDPR.
Provide a follow-up of the quality parameters of the inference when the AI is used for decision-making or in assistance processes to the decision-making."
