4-5;Where deep synthesis service providers provide the following deep synthesis services which might cause confusion or mislead the public, they shall make a conspicuous label in a reasonable position or location on information content they generate or edit, alerting the public of the deep synthesis generation: (1) services such as smart dialogue or smart writing, etc., which simulate natural persons to generate or edit texts; (2) speech generation services such as voice synthesis and imitations or editing services that signicantly change personal identication characteristics; (3) services that generate images or video of virtual persons such as face generation, face swapping, face manipulation, and gesture manipulation, or editing services that signicantly change personal identication characteristics; (4) Generation or editing services such as realistic immersive scenes; (5) Other services that have functions that generate or signicantly alter information content.;high
5;Where deep synthesis service providers provide deep synthesis services other than those provided for in the preceding paragraph, they shall provide functions for prominently labeling, and alert deep synthesis service users that they may make prominent labels.;medium
5;Technical measures must not be employed by any organization or individual to delete, alter, or conceal the deep synthesis labels provided for in articles 16 and 17 of these Provisions.;medium
5;Deep synthesis service providers that have public opinion properties or the capacity for social mobilization shall perform formalities for ling and the modication or cancellation of lings.;low
5;Deep synthesis service providers and technical supporters shall perform formalities for ling and the modication or cancellation of lings with reference to the preceding paragraph.;low
5;Deep synthesis service providers and technical supporters that have completed lings shall indicate their ling number and provide links to publicly displayed information on the websites, applications, and so forth that they provide.;low
5;Where deep synthesis service providers put new products, usages, or functions online that have public opinion properties or capacity for social mobilization shall follow the relevant state provisions to carry out security assessments.;medium
5;Internet information departments and departments for telecommunications and public security are to carry out oversight inspections of deep synthesis services in accordance with their duties. Deep synthesis service providers and technical supporters shall lawfully cooperate and provide necessary technological, data, and other support and assistance.;medium
5;Where internet information departments and the relevant competent departments discover that deep synthesis services have larger information security risks, they may, in accordance with the law and their duties, request that the deep synthesis service provider and technical supporters employ measures such as suspending information updates, user registration, or other related services. Deep synthesis service providers and technical supporters shall take measures as required to carry out rectication and eliminate threats.;high
5-6;Where Deep synthesis service providers and technical supporters violate these provisions, they are to be punished in accordance with relevant laws and administrative regulations; and where serious consequences were caused, give heavier penalties in accordance with law.;low
6;Where violations of public security are constituted, the public security organs are to give public security administrative sanctions in accordance with law; where a crime is constituted, criminal responsibility is pursued in accordance with law.;low
For the second set of extracts:
Page of the document;text;confidence level
2;Deep synthesis service providers shall implement primary responsibility for information security, establishing and completing management systems such as for user registration, review of algorithm mechanisms, scientic ethics reviews, review for information publication, data security, personal information protection, prevention of telecommunication network fraud, and emergency response, and shall have safe and controllable technical safeguard measures.;high
3;Internet application stores and other application distribution platforms shall implement safety management responsibility such as for pre-offering reviews, routine management, and emergency response, check deep synthesis services' security assessments, lings, and other such situations; and where relevant state provisions are violated, they shall promptly employ measures to address it such as not making it available on the market, warnings, suspending services, or taking it off the market.;high
4;Where deep synthesis service providers and technical supporters provide tools that have the following functional models or frameworks, they shall carry out security assessments either on their own or by entrusting a professional body: (1) Generating or editing biometric information such as faces or voices; (2) Generating or editing special items, scenarios, or other non-biometric information that might involve national security, the nation's image, national interests, and the societal public interest.;high
4;Deep synthesis service providers and technical supporters shall strengthen technical management, periodically reviewing, assessing, and verifying algorithmic mechanisms that produce synthesis.;high
5;Where deep synthesis service providers put new products, usages, or functions online that have public opinion properties or capacity for social mobilization shall follow the relevant state provisions to carry out security assessments.;high
5;Internet information departments and departments for telecommunications and public security are to carry out oversight inspections of deep synthesis services in accordance with their duties. Deep synthesis service providers and technical supporters shall lawfully cooperate and provide necessary technological, data, and other support and assistance.;medium
5;Where internet information departments and the relevant competent departments discover that deep synthesis services have larger information security risks, they may, in accordance with the law and their duties, request that the deep synthesis service provider and technical supporters employ measures such as suspending information updates, user registration, or other related services. Deep synthesis service providers and technical supporters shall take measures as required to carry out rectication and eliminate threats.;high
2;Deep synthesis service providers shall verify the real identity information of the users of the deep synthesis services in accordance with law through means such as mobile telephone numbers, identication card numbers, uniform social credit codes, or the state's public online identity verication service, and must not provide information publication services to deep synthesis service users that have not had real name information verication.;medium
2;Deep synthesis service providers shall strengthen the management of deep synthesis content and employ technical measures or manual methods to conduct reviews of the data inputted by users and synthesis outcomes.;medium
3;Deep synthesis service providers and technical supporters shall strengthen the management of training data, employ necessary measures to ensure the security of training data, and where training data includes personal information, they shall comply with relevant provisions on the protection of personal information.;high
4;Deep synthesis service providers shall employ technical measures to attach symbols to information content produced or edited by their services' users that do not impact users' usage, and store log information in accordance with laws, administrative regulations, and relevant state provisions.;medium
2;Deep synthesis service providers shall draft and disclose management rules and platform covenants, improve service agreements, fulll management responsibilities in accordance with law, and post the security obligations born by deep synthesis services' technical supporters and users in a conspicuous manner.;medium
5;Deep synthesis service providers that have public opinion properties or the capacity for social mobilization shall perform formalities for ling and the modication or cancellation of lings.;low
5;Deep synthesis service providers and technical supporters shall perform formalities for ling and the modication or cancellation of lings with reference to the preceding paragraph.;low
5;Deep synthesis service providers and technical supporters that have completed lings shall indicate their ling number and provide links to publicly displayed information on the websites, applications, and so forth that they provide.;low
4-5;Where deep synthesis service providers provide the following deep synthesis services which might cause confusion or mislead the public, they shall make a conspicuous label in a reasonable position or location on information content they generate or edit, alerting the public of the deep synthesis generation: (1) services such as smart dialogue or smart writing, etc., which simulate natural persons to generate or edit texts; (2) speech generation services such as voice synthesis and imitations or editing services that signicantly change personal identication characteristics; (3) services that generate images or video of virtual persons such as face generation, face swapping, face manipulation, and gesture manipulation, or editing services that signicantly change personal identication characteristics; (4) Generation or editing services such as realistic immersive scenes; (5) Other services that have functions that generate or signicantly alter information content.;medium
5;Where deep synthesis service providers provide deep synthesis services other than those provided for in the preceding paragraph, they shall provide functions for prominently labeling, and alert deep synthesis service users that they may make prominent labels.;medium
