Page,Details,,
47,"Data-labelling, as explained earlier in this report, is the process of tagging data samples, which generally 
requires human knowledge to build training data. Data-labelling is critical and can itself require some 
explainability in contexts such as content moderation",,
47,"The degree to which a model evolves in response to data and input from its 
environment in the field is particularly relevant to public policy for AI systems that can iterate and evolve over 
time and may change their behaviour in unforeseen ways. Model evolution and model drift (where a model 
degrades because of changes in data, input or output) are directly relevant to safety, security and robustness 
(Principle 1.4) as well as accountability and liability (Principle 1.5).",,
48,"Federated learning helps to address critical issues like privacy (Principle 1.2), data 
security and data access rights (Principle 1.4) by building models without sharing data",,
48,"Understanding how an AI system’s model was developed and/or maintained is a key 
consideration for assigning roles and responsibilities throughout a risk-management process. It is also 
relevant to assessing the system’s robustness, security and safety (Principle 1.4) as well as accountability 
(Principle 1.5).",,
49,"For policy purposes, whether a model is probabilistic is relevant to testing and 
testability (Principle 1.4) as well as to explainability (Principle 1.3). Probabilistic models can generate multiple 
outcomes with information about their uncertainty. Given the randomness element in probabilistic models, a 
specific outcome may not easily be reproducible (Principle 1.3 and 1.4). ",,
49,"Different AI models can exhibit different degrees of transparency and explainability. Among other things, 
this entails determining whether meaningful and easy-to-understand information is made available to:
Make stakeholders aware of their interactions with AI systems, including in the workplace
Enable those affected by an AI system to understand and challenge the outcome and how it was 
produced by the AI model (e.g. by setting the weights of the AI model’s components)",,
49,"Actions 
performed by developers and modellers include:
Model-building by selecting and training a model
Verification and validation to execute and tune models, including metrics to authorise the system for 
broader deployment",,
51,"Recognition systems require data that is representative and unbiased to function appropriately. 
Recognition of people and biometrics, such as facial recognition or voice recognition systems, can raise 
concerns in relation to human rights (Principle 1.2) and robustness and security in case of adversarial attacks
(Principle 1.4).",,
51,"Interaction support tasks in which an AI system interacts with people may implicate data usage and data 
privacy (Principle 1.2) and may require higher transparency and disclosure of the fact that one is interacting 
with a chatbot (Principle 1.3)",,
,,,"Results: 25 over 71, 30 high, 3 medium, 1 low
2 medium definitions, 1 low definition

12 things more found, useful, 8 high, 4 medium
3 medium definitions

24 more things found, useless, 6 high, 15 medium, 3 low
2 high definitions, 10 medium definitions, 3 low definitions"
