Page of the document;text
4;The providers of algorithmic recommendation services shall inform users in a conspicuous fashion of the circumstances of the algorithmic recommendation services provided, and display the algorithmic recommendation services' basic principles, intended purposes, main operation mechanisms, and so forth in an appropriate manner.
4;The providers of algorithmic recommendation services shall provide users with options not targetting their individual characteristics or provide users with convenient options to close algorithmic recommendation services. Where users select to close algorithmic recommendation services, the algorithmic recommendation service providers shall immediately stop providing those services.
4;The providers of algorithmic recommendation services shall provide users with functions for selecting or deleting user tags used in algorithmic recommendation services that target their personal traits.
4;Where algorithmic recommendation service providers' use of algorithms causes a major impact on users' rights and interests, they shall give an explanation and bear corresponding responsibility in accordance with law.
4;Where the providers of algorithmic recommendation services provide services to minors, they shall perform obligations to protect minors online in accordance with law, and facilitate minors obtaining benecial and healthy information through methods such as having modes appropriate for use by minors and providing services suited to the characteristics of minors.
4-5;The providers of algorithmic recommendation services must not push information to minors that might impact minors' physical and psychological health such as possibly leading them to imitate unsafe behaviors and conduct contrary to social mores or inducing negative habits, and must not use algorithmic recommendation services to induce minors' addiction to the internet.
5;When the providers of algorithmic recommendation services provide seniors with services, they shall safeguard the rights and interests lawfully enjoyed by the seniors, fully consider the needs of seniors in travel, seeking medical care, spending, and handling affairs; provide smart services suited to seniors in accordance with relevant state provisions; carry out monitoring, recognition, and handling of information involving telecommunication network fraud, and facilitate seniors' safe use of algorithmic recommendation services.
5;Where the providers of algorithmic recommendation services provide work coordination services for laborers, they shall protect the laborers' lawful rights and interests such as to receive salary and to rest and vacation, and establish and improve algorithms related to assigning orders, salary composition and payment, work times, rewards and penalties, and so forth.
5;Where the providers of algorithmic recommendation services market goods or provide services to consumers, they shall protect the consumers' rights to fair transactions and must not use algorithms to carry out unreasonable differentiation in treatment in terms of transaction prices or other transaction conditions or carry out other unlawful conduct, based on consumers preferences, transaction habits, or other traits.
5;The providers of algorithmic recommendation services shall set up convenient and effective portals for user appeals and public complaints or reports, clarifying the process for handling them and time limits for giving feedback, to promptly accept and address them, and give feedback on the outcomes.
5-6;In conjunction with relevant departments such as for telecommunications, public security, and market regulation, the internet information department is to establish a hierarchical and categorical management system to conduct management by grade and category of algorithmic recommendation service providers based on the algorithmic recommendation services' public sentiment attributes and capacity to mobilize the public, the content types, the scale of users, the importance of the data handled by the algorithmic recommendation technology, the degree of interference in user conduct, and so forth.
6;Within 10 working days of beginning to provide services, algorithmic recommendation service providers that have public opinion properties or capacity for social mobilization shall provide the service provider's name, service form, eld of application, type of algorithm, algorithm self-assessment report, content to be displayed, and other such information through the internet information services algorithm ling system, and perform ling procedures.
6;Where algorithmic recommendation service providers' recorded information changes, they shall complete modication procedures within 10 working days of the change.
6;Where algorithmic recommendation service providers terminate services, they shall handle procedures to deregister the records within 20 working days of the conclusion and make appropriate arrangements.
6;Algorithmic recommendation service providers that have completed recording shall indicate their record index number and provide links to displayed information in a conspicuous location in their websites or applications that provide external services.
6;Algorithmic recommendation service providers that have public opinion properties or capacity for social mobilization shall carry out security assessments in accordance with relevant state provisions.
6;In conjunction with relevant departments such as for telecommunications, public security, and market regulation, the internet information departments are to carry out security assessments and oversight inspections efforts on algorithmic recommendation services in accordance with law, promptly submit corrective opinions on issues that are discovered and set a time for corrections.
6;The providers of algorithmic recommendation services shall retain network logs in accordance with law, cooperate with the internet information, telecommunications, public security, and market supervision departments conducting security assessments and oversight inspections in accordance with law, and provide necessary technical and data support and assistance.
6-7;Relevant bodies and personnel participating in security assessments and oversight inspections of algorithmic recommendation services shall strictly keep the condentiality of personal private information, personal information, and commercial secrets that they learn of in performing their duties, and must not leak or unlawfully provide it to others.
7;Where any organization or individual discovers conduct violating these Provisions, they may make a complaint or report it to the internet information departments and relevant departments. Departments receiving complaints or reports shall handle them promptly and in accordance with law.
